"","pitch_type","release_speed","pitcher","description","balls","strikes","plate_x","plate_z","home_score","away_score"
"4","SL",80.9,572888,"ball",0,1,1.4999,1.6595,7,9
"5","FT",94.5,572888,"called_strike",0,0,0.4118,1.7614,7,9
"9","FT",94.6,572888,"called_strike",3,1,0.0122,2.5461,7,9
"10","FT",94.6,572888,"ball",2,1,-0.8732,3.5043,7,9
"11","SL",81.6,572888,"ball",1,1,-1.993,2.3081,7,9
"13","SL",82.1,572888,"ball",0,1,-0.4232,1.2591,7,9
"14","CH",80.6,642232,"ball",3,2,1.866,1.2738,2,2
"15","FT",95.1,572888,"called_strike",0,0,-0.7994,2.224,7,9
"16","FC",83.5,642232,"ball",2,2,-2.2219,2.1034,2,2
"18","CH",80.8,642232,"ball",1,2,1.6007,1.5193,2,2
"21","SL",83.2,572888,"called_strike",0,0,0.7552,2.2335,7,9
"24","CU",78.9,642232,"ball",0,2,-1.5188,0.8517,2,2
"27","FT",94.1,572888,"called_strike",0,0,-0.5677,2.4121,7,9
"28","CU",80.9,642232,"called_strike",0,0,-0.1242,3.3526,2,2
"30","SL",82.7,607481,"called_strike",0,0,-0.1064,2.5886,7,9
"32","SI",92.6,607481,"ball",1,0,-0.8989,1.7397,7,8
"33","SI",92.5,607481,"ball",0,0,1.5761,3.0474,7,8
"39","FF",92.9,552640,"ball",1,1,-1.6054,3.2345,2,2
"40","FF",92.9,500872,"ball",1,0,-1.2947,2.1937,7,7
"41","SL",82.9,552640,"ball",0,1,0.0281,0.8376,2,2
"42","CU",80.5,500872,"ball",0,0,1.0832,0.9217,7,7
"43","SL",82.6,552640,"called_strike",0,0,-0.7176,3.0374,2,2
"44","FF",93.5,500872,"ball",3,2,-0.4084,1.0677,7,7
"48","FF",92.5,500872,"called_strike",3,1,-0.3084,2.0213,7,7
"49","FF",89.6,596074,"ball",1,1,-0.1512,3.9594,2,2
"50","FF",92.1,500872,"called_strike",3,0,0.7457,1.8483,7,7
"52","FF",91.1,500872,"ball",2,0,-0.4078,4.6593,7,7
"53","FF",88.9,596074,"ball",0,0,0.2882,3.804,2,2
"54","FF",90.7,500872,"ball",1,0,-1.1469,2.441,7,7
"56","FF",94.1,500872,"ball",0,0,-1.3219,3.5771,7,7
"60","CU",83.8,500872,"called_strike",0,1,-0.387,3.1979,7,7
"61","CH",78.6,596074,"called_strike",1,1,-0.4235,2.7377,2,2
"65","SL",82.5,596074,"ball",0,0,-0.0414,1.19,2,2
"68","SL",84.1,552640,"called_strike",3,1,-0.6621,2.9499,2,2
"69","FF",94.3,641729,"ball",1,1,0.9907,3.8276,7,7
"70","FF",94.6,552640,"ball",2,1,1.3064,2.122,2,2
"73","CH",88.1,641729,"ball",0,0,-0.7501,1.3536,7,7
"74","SL",84.5,552640,"ball",1,0,0.7093,1.0687,2,2
"76","SL",84.5,552640,"ball",0,0,0.6055,1.1933,2,2
"77","SL",83.6,641729,"called_strike",0,0,0.8652,1.7633,7,7
"82","FF",91.2,502202,"ball",1,2,1.2216,1.3973,1,3
"83","SL",83.7,641729,"ball",1,2,1.699,1.3398,7,7
"86","FF",94.5,542960,"ball",1,1,-1.6576,3.2569,2,5
"87","CH",79.9,502202,"ball",0,2,-0.4582,0.5929,1,3
"88","CH",88.3,552640,"ball",0,0,-0.1228,0.8677,2,2
"91","CH",86,542960,"ball",0,1,0.1352,1.35,2,5
"92","FF",94.2,641729,"ball",0,1,1.5164,2.7278,7,7
"94","SL",81.7,641729,"called_strike",0,0,0.6886,2.3686,7,7
"95","FS",85.5,593576,"ball",2,1,0.5869,1.5865,5,0
"96","FT",91.5,542960,"called_strike",0,0,-0.1357,2.1631,2,5
"98","FF",94.9,552640,"called_strike",2,0,0.7389,2.3625,2,2
"99","FF",90.1,502202,"called_strike",0,0,0.3695,2.297,1,3
"100","SL",82.6,552640,"ball",1,0,-0.6212,3.6315,2,2
"103","FS",86,593576,"called_strike",2,0,0.9138,1.7422,5,0
"104","FF",93.7,542960,"called_strike",2,1,-0.0978,2.1496,2,5
"105","FF",91.9,593576,"ball",1,0,-0.6179,4.743,5,0
"108","CH",85.4,465657,"ball",2,1,0.655,0.6623,7,7
"110","FF",92.8,465657,"ball",1,1,-0.4802,1.1146,7,7
"112","FF",93.5,593576,"ball",0,0,-1.0476,3.9593,5,0
"113","FF",92.5,502202,"ball",0,0,1.6644,1.3026,1,3
"116","FF",93.5,542960,"ball",1,0,0.6594,0.9368,2,5
"119","FF",93.4,552640,"ball",0,1,0.7329,3.5899,2,2
"121","FF",93.6,542960,"ball",0,0,0.5281,0.8698,2,5
"122","FS",87.1,593576,"ball",2,2,1.4004,1.3379,5,0
"123","FF",92.3,465657,"ball",0,0,0.1252,1.1539,7,7
"124","FS",88,593576,"ball",1,2,0.7395,0.9919,5,0
"125","FF",90.8,502202,"called_strike",3,1,-0.3121,2.1686,1,3
"126","FT",91.6,542960,"ball",3,1,-0.1252,1.6254,2,5
"130","CH",80.2,502202,"ball",2,1,-1.1633,1.8649,1,3
"131","FF",93.2,542960,"ball",2,1,-1.8928,3.7157,2,5
"135","CU",71.8,465657,"ball",1,2,0.7022,0.264,7,6
"136","FF",93.2,542960,"called_strike",2,0,-1.2013,1.7946,2,5
"138","FF",91.3,502202,"called_strike",2,0,0.8063,1.8653,1,3
"139","SL",84.3,552640,"called_strike",0,0,0.3501,2.7238,2,2
"140","FF",92,465657,"called_strike",1,1,0.0195,1.538,7,6
"141","CH",85,542960,"ball",1,0,-1.5333,2.4513,2,5
"142","FT",93.7,593576,"ball",0,1,-0.7852,3.7015,5,0
"143","FF",89.9,502202,"ball",1,0,0.2525,1.4098,1,3
"144","FT",92.6,542960,"ball",0,0,-2.0338,1.923,2,5
"148","FF",89.4,502202,"ball",0,0,0.7714,1.137,1,3
"149","FF",90.1,596074,"ball",1,2,-0.711,3.6728,2,2
"150","CU",67.8,465657,"ball",0,0,-1.264,3.5272,7,6
"154","FF",94.1,542960,"called_strike",0,0,-0.0574,3.0383,2,5
"156","FF",94.3,593576,"called_strike",0,1,-0.0255,2.4996,5,0
"159","FF",89.6,596074,"called_strike",1,1,1.1114,2.6213,2,2
"161","FF",94.2,593576,"called_strike",0,0,0.1913,2.311,5,0
"162","SI",99.7,663855,"ball",0,0,1.4109,1.2117,1,3
"165","KC",87.3,476454,"ball",1,2,1.3691,1.989,2,5
"168","FF",92.1,465657,"called_strike",2,1,-0.4472,1.4343,7,4
"169","SL",84.8,596074,"ball",0,0,-1.3552,0.6858,2,2
"172","SI",100.9,663855,"called_strike",2,0,0.6306,2.2349,1,3
"173","FF",92,465657,"called_strike",2,0,0.021,1.4777,7,4
"174","SI",101.4,663855,"ball",1,0,0.3579,1.3463,1,3
"175","KC",83.3,476454,"ball",0,1,-0.3175,3.7258,2,5
"176","FF",99.8,594027,"ball",1,2,1.1772,1.1272,5,0
"178","CH",86.6,465657,"ball",1,0,-0.0265,0.2558,7,4
"182","SI",100.3,663855,"ball",0,0,-0.9074,3.2933,1,3
"183","FF",92.4,465657,"ball",0,0,0.7092,1.5477,7,4
"190","FF",90.3,465657,"called_strike",3,0,-0.1673,2.0168,7,4
"191","FT",93.6,607625,"ball",1,1,-1.2934,1.7024,2,8
"194","SI",98.5,663855,"called_strike",1,0,0.2122,2.114,1,3
"197","CH",80.2,596074,"ball",0,0,1.0427,2.6557,2,2
"199","FF",92.3,465657,"ball",2,0,0.1708,1.1919,7,4
"200","CU",77.2,607625,"ball",0,1,-0.3895,1.0912,2,8
"201","KC",82.7,476454,"called_strike",1,0,0.7436,2.4955,2,5
"202","SI",97.8,663855,"ball",0,0,-1.2504,2.0698,1,3
"207","FF",96.6,605151,"called_strike",2,2,-0.0314,1.5654,1,3
"208","FF",91.2,465657,"ball",1,0,-0.435,1.0216,7,4
"209","FT",92.2,607625,"called_strike",0,0,-0.7709,2.3022,2,8
"210","FF",96.2,476454,"ball",0,0,0.7927,1.5928,2,5
"212","FF",97.2,476454,"ball",3,0,2.0583,1.5522,2,5
"214","FF",90.9,465657,"ball",0,0,-0.4547,1.0793,7,4
"216","FT",93.1,572750,"ball",0,0,-0.1344,0.4454,0,8
"220","FT",94.5,407845,"ball",0,0,-0.3202,3.4691,4,2
"223","KC",82.8,476454,"ball",2,0,2.2245,1.8758,2,5
"224","FF",88.8,596074,"ball",2,2,-1.0763,3.2589,2,2
"227","FF",99.1,594027,"ball",0,2,-1.1989,3.8342,5,0
"228","CH",88.1,572750,"ball",1,2,-1.5137,2.1669,0,8
"232","KC",82.4,476454,"ball",1,0,1.599,1.1937,2,5
"233","FF",89.9,596074,"ball",1,2,1.1653,3.2121,2,2
"235","FF",96.4,605151,"ball",0,1,-0.341,1.5609,1,3
"236","FF",96.1,476454,"ball",0,0,-0.559,3.7993,2,5
"241","CH",86.9,572750,"ball",0,2,-1.2791,1.1666,0,8
"243","FT",94.4,407845,"called_strike",1,0,0.5936,2.4121,4,2
"244","FT",92.4,607625,"ball",2,1,-0.4359,3.4944,2,8
"245","FF",93.3,407845,"ball",0,0,-2.2801,1.9404,4,2
"248","FF",89.3,596074,"ball",0,2,0.6142,4.3401,2,2
"249","CH",83.8,465657,"ball",2,1,-1.0176,0.3332,7,4
"252","FT",92.9,572750,"called_strike",0,0,-0.2768,1.573,0,8
"253","FF",97.5,594027,"called_strike",0,0,0.3386,1.655,5,0
"255","CU",79.5,607625,"ball",1,1,0.7441,1.4862,2,8
"256","CU",69.7,465657,"ball",1,1,1.0394,1.31,7,4
"258","KC",83.2,476454,"called_strike",2,1,-0.0288,2.3281,2,5
"260","FF",90.6,465657,"called_strike",1,0,-0.2852,1.4798,7,4
"262","KC",82.8,476454,"ball",1,1,1.9964,1.7005,2,5
"264","FF",96.8,594027,"ball",3,2,-0.3386,1.203,5,0
"266","FT",92.1,607625,"ball",0,1,-1.3238,2.7443,2,8
"267","FF",95.1,407845,"ball",0,2,1.0065,1.1896,4,2
"268","SL",88,607625,"called_strike",0,0,1.1702,2.0395,2,8
"271","FF",90.9,465657,"ball",0,0,0.5837,1.0643,7,4
"272","FC",91.4,572750,"ball",0,2,0.5969,1.388,0,8
"273","SL",82.5,476454,"ball",0,1,-1.025,2.6771,2,5
"276","CH",88.4,552640,"ball",1,0,-1.6938,1.9083,2,2
"279","FT",93.7,407845,"called_strike",0,1,-0.2238,2.0915,4,2
"281","SL",82.1,476454,"called_strike",0,0,0.681,2.5655,2,5
"284","FF",97.8,594027,"ball",2,2,-0.2407,0.5669,5,0
"285","SL",85.7,596057,"ball",0,2,-0.6094,-0.3556,7,4
"287","FT",93.9,572750,"called_strike",0,0,0.0977,1.6773,0,8
"288","SL",83.5,605177,"ball",2,1,-0.7723,-0.1814,1,3
"289","SL",83.8,552640,"ball",0,0,-1.2278,2.5613,2,2
"291","FT",92.6,407845,"called_strike",0,0,-0.4862,1.8319,4,2
"292","FT",92.6,607625,"called_strike",0,1,0.7506,2.2054,2,8
"293","FF",92.7,407845,"ball",3,0,0.8879,2.5822,4,2
"299","SL",84.1,605177,"ball",1,1,-0.9153,0.4724,1,3
"303","SI",92.8,605177,"called_strike",1,0,0.8454,2.2078,1,3
"304","SL",85.8,552640,"ball",0,2,1.4493,1.2702,2,2
"305","FF",97.4,594027,"ball",1,1,0.5017,1.2821,5,0
"306","FF",92.2,407845,"ball",2,0,0.9805,0.6501,4,2
"308","FT",92.1,407845,"ball",1,0,-1.2584,3.3153,4,2
"311","FF",96.2,608349,"ball",0,0,0.5806,1.0283,0,8
"314","SI",92.9,605177,"ball",0,0,0.7449,1.3823,1,3
"316","FT",91,596057,"ball",0,2,0.4867,5.1645,7,4
"317","FF",97.6,594027,"ball",0,0,-1.2189,2.2203,5,0
"319","FF",95.3,552640,"called_strike",0,1,-0.0391,2.5791,2,2
"320","FT",92.2,407845,"ball",0,0,0.2768,1.3225,4,2
"322","FT",94.3,607625,"ball",1,2,-1.5887,2.2522,2,8
"327","SL",86.8,552640,"called_strike",0,0,0.2151,1.8209,2,2
"328","FF",96.5,608349,"ball",0,2,-0.541,2.7045,0,8
"329","SI",92.2,605177,"ball",0,0,1.2433,2.0206,1,3
"332","FC",90.5,451584,"called_strike",2,2,-0.8645,2.6799,1,3
"333","FF",91,596057,"called_strike",0,0,-0.3791,2.2839,7,4
"334","KC",83.7,451584,"ball",1,2,-0.1598,0.1568,1,3
"338","FF",86.9,503285,"called_strike",1,0,0.375,2.8207,2,5
"339","KC",80,608349,"called_strike",0,1,0.2363,2.362,0,8
"340","SI",89.4,544928,"called_strike",1,2,-0.5954,1.9171,1,3
"342","FF",88.9,543883,"ball",0,2,-0.4635,3.6278,4,2
"343","FF",94.6,451584,"ball",0,2,1.7245,2.5697,1,3
"344","FF",89.3,544928,"ball",0,2,0.9712,4.4615,1,3
"346","CH",85.7,607625,"ball",0,2,-0.5621,0.9078,2,8
"350","FF",95.7,552640,"ball",0,2,1.1711,2.5821,2,2
"352","FF",87,503285,"ball",0,0,1.1153,2.7602,2,5
"353","FF",90.1,596057,"ball",0,1,0.274,4.2668,7,4
"357","FF",88.9,451584,"called_strike",0,1,0.9885,2.0788,1,3
"358","FF",96.7,594027,"ball",1,0,-1.0325,1.0683,5,0
"361","FC",86.1,543883,"called_strike",0,0,0.3101,3.2994,4,2
"371","FF",95,605309,"ball",3,1,-0.8106,3.8931,3,6
"372","FF",96.8,594027,"ball",0,0,-0.4347,0.9141,5,0
"373","FF",94.6,605309,"ball",2,1,0.8658,2.8979,3,6
"374","FF",96,608349,"ball",2,2,0.9883,1.4269,0,6
"377","FF",94,607625,"called_strike",0,0,0.2577,2.183,2,8
"381","FF",89.6,543883,"ball",0,2,0.1472,1.8401,3,2
"384","SL",88.7,518858,"ball",2,2,2.0626,0.9434,7,4
"386","FF",96.2,518886,"called_strike",1,1,0.2773,2.2527,2,2
"387","FF",95.3,605309,"ball",1,1,1.5291,2.5645,3,6
"390","FT",93.8,451584,"ball",1,2,-0.4883,5.0516,1,3
"391","SL",84,472610,"ball",0,2,0.9936,6e-04,5,0
"394","FF",95.6,608349,"ball",1,2,-0.3226,4.4292,0,6
"395","SL",78.4,503285,"called_strike",0,1,-0.0834,2.5101,2,5
"398","FF",95.9,518886,"called_strike",1,0,-0.5687,3.2486,2,2
"399","FF",89.2,543883,"called_strike",0,0,0.1204,2.2583,3,2
"401","FT",95.5,605309,"ball",0,1,-1.1797,3.248,3,6
"402","FT",94,451584,"ball",0,2,1.3069,2.0889,1,3
"404","FF",95.1,448281,"ball",2,1,-0.1733,4.5475,2,8
"405","FF",95.5,608349,"ball",0,2,-0.7271,3.8637,0,6
"408","SL",83.6,472610,"called_strike",0,0,-0.5513,1.9223,5,0
"409","SL",78.2,544928,"called_strike",2,1,-0.0171,2.9595,1,3
"410","KC",85.8,518886,"ball",0,0,-1.3884,3.1223,2,2
"413","SL",77.4,544928,"ball",1,1,0.9985,1.5892,1,3
"416","FF",96.7,518886,"ball",3,1,1.7576,1.5857,2,2
"418","FF",96,608349,"called_strike",0,1,0.5308,2.0085,0,6
"420","FF",95.2,448281,"ball",1,1,0.2008,3.9618,2,8
"421","SL",78.1,503285,"ball",3,2,-1.3648,2.206,2,5
"423","FS",82.8,472610,"ball",0,1,-1.0782,3.8098,5,0
"424","FF",94.9,448281,"ball",0,1,0.2368,4.2572,2,8
"426","KC",82.1,451584,"called_strike",0,0,-0.274,2.2,1,3
"427","FF",96.1,518886,"called_strike",3,0,0.3654,2.6311,2,2
"429","FT",94.7,518858,"ball",1,0,-0.3844,4.2292,7,4
"430","FC",85.3,543883,"ball",1,0,-0.6143,1.2376,3,2
"432","CU",82.1,605309,"ball",1,2,0.7702,3.7369,3,6
"436","SL",78.6,503285,"ball",2,2,1.1683,3.4176,2,5
"438","FT",96.3,472610,"called_strike",0,0,-0.7166,2.6712,5,0
"439","SL",79.1,544928,"ball",0,0,-0.258,1.4173,1,3
"440","FF",95.8,518886,"ball",2,0,0.8988,1.2763,2,2
"441","FC",84.6,543883,"ball",0,0,0.7436,1.2487,3,2
"442","FT",95.4,518858,"ball",0,0,1.6234,1.912,7,4
"444","FF",96.4,518886,"ball",1,0,0.7793,1.4941,2,2
"446","FF",97,608349,"ball",0,0,0.6089,1.2803,0,6
"452","FF",93.6,451584,"called_strike",0,0,0.4325,3.3809,1,3
"454","FS",86.4,448281,"called_strike",1,1,0.1623,2.9386,2,8
"455","FT",95.7,472610,"called_strike",1,0,0.5644,2.3389,5,0
"458","SL",77.3,544928,"called_strike",0,1,0.1237,3.3363,1,3
"459","CU",81.4,605309,"ball",0,1,1.0621,3.3848,3,6
"461","FT",94.5,518858,"ball",2,2,1.3305,1.7257,7,3
"463","FT",94.8,472610,"ball",0,0,-0.4364,1.7224,5,0
"464","FF",95.6,518886,"ball",3,0,-0.6527,3.5844,2,2
"466","SL",89.1,518858,"ball",1,2,2.1979,0.9073,7,3
"467","FF",91.4,592665,"called_strike",1,0,0.0501,1.9595,3,2
"468","FF",96.1,608349,"ball",2,1,0.452,3.5188,0,6
"469","FF",95.4,448281,"ball",0,1,-0.48,4.0669,2,8
"471","FF",90.4,451584,"called_strike",2,0,0.6102,2.5288,0,3
"472","SL",77.9,544928,"called_strike",0,0,0.9178,2.425,1,3
"473","FF",95.3,448281,"called_strike",0,0,0.6375,2.6037,2,8
"474","FF",98.3,553878,"called_strike",1,2,-0.7011,2.3128,5,2
"475","FF",93.1,451584,"ball",1,0,1.5855,1.5102,0,3
"476","SI",86.5,503285,"called_strike",2,0,-0.2883,1.2764,2,5
"477","SL",84,592665,"ball",0,0,0.086,1.2487,3,2
"478","FF",96,518886,"ball",2,0,0.7596,3.8321,2,2
"483","FF",96.2,608349,"called_strike",2,0,-0.0637,2.1939,0,6
"485","FF",95.2,608349,"ball",1,0,1.3849,2.3933,0,6
"486","SL",79,503285,"ball",1,0,0.4094,1.7026,2,5
"487","CH",87.2,553878,"ball",0,2,1.2322,2.7243,5,2
"489","FF",95.3,605309,"called_strike",0,0,0.4919,1.8912,3,6
"490","FF",91.1,451584,"ball",0,0,1.1155,1.4876,0,3
"491","FF",NA,606424,"called_strike",0,0,NA,NA,5,0
"496","FT",96.6,518858,"called_strike",0,0,0.1142,2.1172,7,3
"498","SI",85.9,503285,"ball",0,0,-0.9354,1.0718,2,5
"499","FF",96.2,518886,"ball",0,0,1.169,1.3309,2,2
"500","FF",95.4,608349,"ball",0,0,0.3556,1.0676,0,6
"505","FF",95.1,448281,"ball",2,2,0.4481,1.1418,2,8
"506","FF",96.6,553878,"called_strike",0,0,-0.5892,1.4417,5,2
"507","FF",94.1,448281,"ball",1,2,0.3042,3.6097,2,8
"510","FF",90.7,592665,"called_strike",0,0,-0.769,2.1577,3,2
"511","FF",92.7,476589,"called_strike",1,2,-0.291,1.8607,2,5
"516","CU",84.6,543475,"ball",0,1,0.4311,1.3533,0,3
"521","FF",94,543475,"called_strike",0,0,-0.6049,2.8155,0,3
"522","SL",81.5,448281,"called_strike",1,1,-0.2385,3.1931,2,8
"525","FF",92.3,476589,"ball",0,2,-0.5765,3.7963,2,5
"526","FF",NA,606424,"ball",1,1,NA,NA,3,0
"529","FF",90.6,592665,"called_strike",0,1,0.2269,1.7491,3,2
"530","FF",90.3,673633,"ball",2,2,-2.378,2.4569,1,3
"531","FF",94.3,448281,"called_strike",1,0,0.9421,3.0301,2,8
"533","SI",90.2,518553,"called_strike",0,0,0.1382,1.9916,0,6
"540","FT",95.3,518858,"called_strike",0,0,0.6364,1.9422,7,3
"541","SL",85.5,476589,"called_strike",0,0,0.3085,2.9838,2,5
"542","SL",79.9,543272,"called_strike",0,0,0.9633,2.9098,0,1
"544","KC",87.1,518886,"ball",0,0,-0.1941,0.9034,2,2
"545","FS",84.6,673633,"ball",1,2,1.0331,0.2761,1,3
"546","CH",NA,606424,"ball",0,0,NA,NA,3,0
"547","FF",89.6,592665,"called_strike",0,0,-0.2104,2.7304,3,2
"549","FF",94,448281,"ball",0,0,-0.3921,2.1007,2,8
"552","CU",82,553878,"ball",0,1,0.8662,1.9446,5,2
"563","FF",91.5,606424,"ball",0,1,-0.4081,0.5017,3,0
"564","FF",93.6,448281,"ball",0,0,-1.5806,2.046,2,8
"567","SL",82.3,518858,"ball",1,2,1.2344,1.7759,7,3
"568","FC",86.4,543883,"ball",0,0,1.3015,2.2658,3,2
"569","FF",94.7,518886,"ball",0,0,-0.5644,0.6904,2,2
"575","FF",92.4,476589,"ball",1,0,1.2328,2.1379,2,5
"577","SL",80.1,543359,"ball",0,0,1.3914,1.8554,0,6
"578","FS",83,673633,"ball",0,0,-0.2634,3.4916,1,3
"582","FT",95.1,518858,"called_strike",1,1,0.1223,1.413,7,3
"584","FT",95.4,518858,"ball",0,1,0.3051,3.2873,7,3
"585","FF",92,476589,"ball",0,0,-0.8717,1.1911,2,5
"588","FT",93.4,501822,"ball",0,0,-0.238,1.1577,3,4
"592","FF",94.8,518886,"ball",1,1,-1.9471,3.5411,2,2
"595","SI",94.2,592169,"called_strike",1,0,0.0038,1.6029,5,2
"599","FF",95.3,518886,"ball",0,1,-0.6255,3.6628,2,2
"601","FF",92.3,606424,"ball",0,2,0.5749,3.9011,3,0
"602","SL",81.8,543272,"ball",0,0,-1.339,1.6997,0,1
"603","FC",85.2,543883,"ball",0,0,-0.181,3.7034,3,2
"605","SI",94.7,592169,"ball",0,0,0.1242,1.2695,5,2
"606","SL",82.7,570663,"ball",2,1,-1.8751,2.9314,2,8
"607","KC",84.7,518886,"called_strike",0,0,-0.0181,1.9236,2,2
"611","FF",95.1,501822,"ball",0,2,-1.5088,3.3106,3,4
"615","FF",91.7,543272,"ball",3,0,-1.2284,1.5703,0,0
"617","FF",92.6,543272,"ball",2,0,-0.1806,1.4547,0,0
"619","FF",91.5,673633,"ball",1,0,1.2107,2.5927,1,3
"620","FT",89.1,543359,"called_strike",1,0,-0.095,2.5456,0,6
"621","FF",92.3,570663,"called_strike",2,0,-0.3841,2.0184,2,8
"622","FT",96.1,518858,"called_strike",0,0,0.4227,3.0792,7,3
"624","SL",85,519240,"ball",2,2,-1.5673,1.1302,3,2
"625","SL",87,476589,"ball",2,1,1.8309,1.4351,2,5
"627","FF",90.4,673633,"ball",0,0,1.8573,1.364,1,3
"628","SL",85.3,476589,"ball",1,1,1.625,1.1644,2,5
"629","SL",81.3,543359,"ball",0,0,-0.003,1.0263,0,6
"632","FF",92.2,543272,"ball",1,0,-1.8288,2.3497,0,0
"634","SL",83.8,501822,"called_strike",0,0,-0.7927,1.724,3,4
"635","SL",84.1,519240,"called_strike",2,1,-0.3653,1.5709,3,2
"636","SL",83.6,596057,"called_strike",2,2,-0.8425,2.6529,7,3
"637","FF",94.6,570663,"ball",1,0,0.0053,1.4085,2,8
"639","FF",95.4,570663,"ball",0,0,-1.0665,2.0685,2,8
"640","CH",81.3,606424,"called_strike",0,0,0.2972,2.0093,3,0
"642","SI",94.2,592169,"called_strike",1,0,-0.6434,2.3939,5,2
"643","FC",88.6,517008,"ball",0,1,0.165,1.0089,2,2
"646","SL",80.5,543272,"ball",0,0,-0.784,1.5267,0,0
"647","FT",91.7,608678,"ball",0,0,-2.4063,2.7771,1,3
"648","SI",91.4,519240,"ball",1,1,0.4286,1.0602,3,2
"650","SI",90.8,519240,"ball",0,1,0.4287,0.7234,3,2
"657","SI",92.4,592169,"ball",0,0,-1.0271,4.0391,5,2
"658","FF",93.2,517008,"called_strike",0,0,-1.0828,2.7518,2,2
"659","FF",92.6,476589,"ball",0,0,0.6955,1.2643,2,5
"660","FF",94.6,608678,"ball",1,2,1.3563,1.8977,1,3
"662","SI",92.6,592169,"ball",3,1,-1.1724,2.0639,5,2
"663","SL",84,570663,"ball",2,2,-2.0304,3.1681,2,8
"665","SL",82.9,519240,"called_strike",0,0,0.0716,1.9586,3,2
"670","CU",74.8,605388,"ball",0,0,0.4372,1.4467,3,0
"674","FF",89.2,596057,"ball",0,0,-0.9568,3.0525,7,3
"675","SI",93.8,592169,"ball",2,1,-1.5847,3.2042,5,2
"683","FF",93.7,517008,"ball",1,0,1.1034,2.153,2,2
"684","CH",90,570663,"called_strike",2,1,0.4047,2.8418,2,8
"686","FF",91.6,476589,"ball",0,0,1.0272,1.1246,2,5
"687","SL",83.6,596057,"ball",3,1,-0.1496,3.7266,7,3
"688","SL",81.9,543359,"ball",0,2,-0.8209,-0.3064,0,5
"689","FC",91,455119,"ball",1,1,1.2972,2.3163,3,4
"692","FF",93.2,608678,"called_strike",1,0,0.0707,1.5837,1,3
"693","FF",98.1,656186,"ball",1,2,0.8852,3.3382,3,2
"694","FF",92.9,608678,"ball",0,0,-0.0204,3.5932,1,3
"696","SI",93.3,592169,"ball",1,0,0.3597,1.1489,5,2
"697","FF",91.9,570663,"called_strike",2,0,-0.7102,2.8565,2,8
"698","FF",90.3,543359,"called_strike",0,1,-0.7519,2.4152,0,5
"700","FF",94.7,455119,"ball",0,1,-1.3322,0.7996,3,4
"701","SL",83,596057,"called_strike",3,0,0.5093,2.0745,7,3
"702","FC",90.6,517008,"ball",0,0,0.1294,1.2697,2,2
"705","FF",94.4,455119,"called_strike",0,0,-0.8628,2.3022,3,4
"706","FT",89.3,596057,"ball",2,0,1.5726,3.889,7,3
"707","SL",84.1,592169,"ball",0,0,1.3168,1.0594,5,2
"708","FF",87.2,503285,"ball",1,2,-2.0768,2.8477,2,5
"709","FT",92.6,605388,"called_strike",1,0,0.6482,2.0927,3,0
"711","SL",79.6,543272,"ball",1,1,-0.4375,1.1657,0,0
"712","FF",91.6,570663,"ball",1,0,-1.4997,3.1072,2,8
"713","FT",90.5,543359,"called_strike",0,0,0.4236,1.513,0,5
"714","FF",94.6,570663,"ball",0,0,-2.8542,4.6319,2,8
"715","SL",79.9,543272,"ball",0,1,-1.5709,3.2739,0,0
"721","SL",79.8,503285,"ball",0,2,1.3359,2.1575,2,5
"722","SL",82.8,596057,"ball",1,0,1.0366,4.1388,7,3
"723","FT",92.8,605388,"ball",0,0,2.1683,4.273,3,0
"725","SL",82.9,596057,"ball",0,0,0.6849,3.6286,7,3
"726","SL",84,455119,"called_strike",0,0,0.0402,1.6761,3,4
"727","SL",88.5,656186,"ball",0,0,-1.6583,3.5311,3,2
"731","FC",86.1,502004,"called_strike",3,1,0.0673,3.1288,5,2
"732","FF",94.1,608678,"ball",1,1,0.5567,0.8585,1,3
"735","FT",92.6,543272,"ball",3,2,0.2994,1.0169,0,0
"737","FF",94,570663,"called_strike",0,0,-0.0353,2.4863,2,8
"742","FT",88.9,502004,"ball",2,1,-1.6527,2.7514,5,2
"744","SL",83.5,502004,"ball",1,1,0.5865,0.493,5,2
"746","FF",94.8,455119,"ball",1,2,-0.9658,3.9724,3,4
"747","FF",NA,606424,"called_strike",0,0,NA,NA,3,0
"751","FF",92.2,608678,"ball",0,0,-1.3591,2.5958,1,3
"752","FF",94.7,570663,"called_strike",2,2,-0.8156,1.7323,2,8
"753","SL",89.8,656186,"called_strike",0,1,0.4838,2.3824,2,2
"754","FF",94.3,571710,"ball",3,1,-1.0742,3.381,2,5
"755","FF",95.1,656186,"called_strike",0,0,-0.5171,1.922,2,2
"756","FF",96.3,570663,"ball",1,2,1.377,2.8746,2,8
"758","FF",NA,606424,"ball",3,2,NA,NA,3,0
"759","CH",84.9,571710,"ball",2,1,1.2844,0.7918,2,5
"763","FF",91.3,596057,"ball",0,2,0.6689,4.07,6,3
"765","FT",91.8,543272,"called_strike",2,1,0.7534,2.5237,0,0
"767","SL",80.9,543272,"ball",1,1,-1.8881,1.9904,0,0
"770","FF",95.3,571710,"ball",1,1,2.2225,2.1464,2,5
"772","FF",94,455119,"called_strike",1,0,0.0551,2.4437,3,4
"774","FT",88.6,502004,"ball",0,0,-1.0178,1.8419,5,2
